                   frame  Start Frame
    0.001 ms       script   Checking CHOP channels for CHOP Execute DAT /lcroot/controlsystem/scene1/ctrlgui2/ctrlslider/set_knobs (DAT:chopexec)
    0.001 ms       script   Checking CHOP channels for CHOP Execute DAT /lcroot/controlsystem/scene1/ctrlgui2/basevalslider/set_knobs (DAT:chopexec)
    0.001 ms       script   Checking CHOP channels for CHOP Execute DAT /lcroot/controlsystem/scene1/ctrlgui3/ctrlslider/set_knobs (DAT:chopexec)
    0.002 ms       script   Checking CHOP channels for CHOP Execute DAT /lcroot/controlsystem/scene1/ctrlgui3/basevalslider/set_knobs (DAT:chopexec)
    0.001 ms       script   Checking CHOP channels for CHOP Execute DAT /lcroot/controlsystem/scene1/ctrlgui4/ctrlslider/set_knobs (DAT:chopexec)
    0.001 ms       script   Checking CHOP channels for CHOP Execute DAT /lcroot/controlsystem/scene1/ctrlgui4/basevalslider/set_knobs (DAT:chopexec)
    0.002 ms       cook   /lcroot/controlsystem/scene1/ctrldisplay1/ctrlin (CHOP:null Selective/Force Cook Check)
    0.001 ms       cook   /lcroot/controlsystem/scene1/ctrldisplay1/snapshotin (CHOP:null Selective/Force Cook Check)
    0.002 ms       cook   /lcroot/controlsystem/scene1/ctrldisplay1/rangemaxsin (CHOP:null Selective/Force Cook Check)
    0.000 ms       cook   /lcroot/controlsystem/scene1/ctrldisplay1/rangeminsin (CHOP:null Selective/Force Cook Check)
    0.001 ms       cook   /lcroot/controlsystem/scene1/ctrldisplay2/ctrlin (CHOP:null Selective/Force Cook Check)
    0.001 ms       cook   /lcroot/controlsystem/scene1/ctrldisplay2/snapshotin (CHOP:null Selective/Force Cook Check)
    0.001 ms       cook   /lcroot/controlsystem/scene1/ctrldisplay2/rangemaxsin (CHOP:null Selective/Force Cook Check)
    0.001 ms       cook   /lcroot/controlsystem/scene1/ctrldisplay2/rangeminsin (CHOP:null Selective/Force Cook Check)
    0.002 ms       cook   /lcroot/controlsystem/scene1/ctrldisplay3/ctrlin (CHOP:null Selective/Force Cook Check)
    0.001 ms       cook   /lcroot/controlsystem/scene1/ctrldisplay3/snapshotin (CHOP:null Selective/Force Cook Check)
    0.002 ms       cook   /lcroot/controlsystem/scene1/ctrldisplay3/rangemaxsin (CHOP:null Selective/Force Cook Check)
    0.001 ms       cook   /lcroot/controlsystem/scene1/ctrldisplay3/rangeminsin (CHOP:null Selective/Force Cook Check)
    0.001 ms       cook   /lcroot/controlsystem/scene1/ctrldisplay4/ctrlin (CHOP:null Selective/Force Cook Check)
    0.001 ms       cook   /lcroot/controlsystem/scene1/ctrldisplay4/snapshotin (CHOP:null Selective/Force Cook Check)
    0.002 ms       cook   /lcroot/controlsystem/scene1/ctrldisplay4/rangemaxsin (CHOP:null Selective/Force Cook Check)
    0.001 ms       cook   /lcroot/controlsystem/scene1/ctrldisplay4/rangeminsin (CHOP:null Selective/Force Cook Check)
    0.004 ms       cook   /lcroot/controlsystem/scene2/ctrlin (CHOP:null Selective/Force Cook Check)
    0.016 ms  2502 cook     /lcroot/controlsystem/scene2/select1 (CHOP:select)
    0.002 ms  2502 cook      /lcroot/controlsystem/scene2/ctrlgui1/ctrlout (CHOP:out)
    0.013 ms  2503 cook       /lcroot/controlsystem/scene2/ctrlgui1/rename3 (CHOP:rename)
    0.007 ms  2502 cook        /lcroot/controlsystem/scene2/ctrlgui1/override1 (CHOP:override)
    0.001 ms  2502 cook      /lcroot/controlsystem/scene2/ctrlgui2/ctrlout (CHOP:out)
    0.010 ms  2503 cook       /lcroot/controlsystem/scene2/ctrlgui2/rename3 (CHOP:rename)
    0.005 ms  2502 cook        /lcroot/controlsystem/scene2/ctrlgui2/override1 (CHOP:override)
    0.002 ms  2502 cook      /lcroot/controlsystem/scene2/ctrlgui3/ctrlout (CHOP:out)
    0.008 ms  2503 cook       /lcroot/controlsystem/scene2/ctrlgui3/rename3 (CHOP:rename)
    0.006 ms  2502 cook        /lcroot/controlsystem/scene2/ctrlgui3/override1 (CHOP:override)
    0.002 ms  2502 cook      /lcroot/controlsystem/scene2/ctrlgui4/ctrlout (CHOP:out)
    0.008 ms  2503 cook       /lcroot/controlsystem/scene2/ctrlgui4/rename3 (CHOP:rename)
    0.006 ms  2502 cook        /lcroot/controlsystem/scene2/ctrlgui4/override1 (CHOP:override)
    0.005 ms       cook   /lcroot/controlsystem/scene2/basevalsin (CHOP:null Selective/Force Cook Check)
    0.011 ms  2502 cook     /lcroot/controlsystem/scene2/select2 (CHOP:select)
    0.002 ms  2502 cook      /lcroot/controlsystem/scene2/ctrlgui1/basevalsout (CHOP:out)
    0.008 ms  2503 cook       /lcroot/controlsystem/scene2/ctrlgui1/rename4 (CHOP:rename)
    0.005 ms  2502 cook        /lcroot/controlsystem/scene2/ctrlgui1/override2 (CHOP:override)
    0.001 ms  2502 cook      /lcroot/controlsystem/scene2/ctrlgui2/basevalsout (CHOP:out)
    0.008 ms  2503 cook       /lcroot/controlsystem/scene2/ctrlgui2/rename4 (CHOP:rename)
    0.005 ms  2502 cook        /lcroot/controlsystem/scene2/ctrlgui2/override2 (CHOP:override)
    0.001 ms  2502 cook      /lcroot/controlsystem/scene2/ctrlgui3/basevalsout (CHOP:out)
    0.008 ms  2503 cook       /lcroot/controlsystem/scene2/ctrlgui3/rename4 (CHOP:rename)
    0.005 ms  2502 cook        /lcroot/controlsystem/scene2/ctrlgui3/override2 (CHOP:override)
    0.002 ms  2502 cook      /lcroot/controlsystem/scene2/ctrlgui4/basevalsout (CHOP:out)
    0.008 ms  2503 cook       /lcroot/controlsystem/scene2/ctrlgui4/rename4 (CHOP:rename)
    0.005 ms  2502 cook        /lcroot/controlsystem/scene2/ctrlgui4/override2 (CHOP:override)
    0.001 ms       cook   /lcroot/controlsystem/scene2/scene_core/mix (CHOP:null Selective/Force Cook Check)
    0.001 ms       cook   /lcroot/controlsystem/scene2/scene_core/ctrlin (CHOP:null Selective/Force Cook Check)
    0.002 ms       cook   /lcroot/controlsystem/scene2/scene_core/basevalsin (CHOP:null Selective/Force Cook Check)
    0.002 ms       script   Checking CHOP channels for CHOP Execute DAT /lcroot/controlsystem/scene2/scene_core/update_snapshot (DAT:chopexec)
    0.002 ms       script   Checking CHOP channels for CHOP Execute DAT /lcroot/controlsystem/scene2/ctrlgui1/ctrlslider/set_knobs (DAT:chopexec)
    0.001 ms       script   Checking CHOP channels for CHOP Execute DAT /lcroot/controlsystem/scene2/ctrlgui1/basevalslider/set_knobs (DAT:chopexec)
    0.001 ms       script   Checking CHOP channels for CHOP Execute DAT /lcroot/controlsystem/scene2/ctrlgui2/ctrlslider/set_knobs (DAT:chopexec)
    0.001 ms       script   Checking CHOP channels for CHOP Execute DAT /lcroot/controlsystem/scene2/ctrlgui2/basevalslider/set_knobs (DAT:chopexec)
    0.002 ms       script   Checking CHOP channels for CHOP Execute DAT /lcroot/controlsystem/scene2/ctrlgui3/ctrlslider/set_knobs (DAT:chopexec)
    0.001 ms       script   Checking CHOP channels for CHOP Execute DAT /lcroot/controlsystem/scene2/ctrlgui3/basevalslider/set_knobs (DAT:chopexec)
    0.001 ms       script   Checking CHOP channels for CHOP Execute DAT /lcroot/controlsystem/scene2/ctrlgui4/ctrlslider/set_knobs (DAT:chopexec)
    0.001 ms       script   Checking CHOP channels for CHOP Execute DAT /lcroot/controlsystem/scene2/ctrlgui4/basevalslider/set_knobs (DAT:chopexec)
    0.001 ms       cook   /lcroot/controlsystem/scene2/ctrldisplay1/ctrlin (CHOP:null Selective/Force Cook Check)
    0.001 ms       cook   /lcroot/controlsystem/scene2/ctrldisplay1/snapshotin (CHOP:null Selective/Force Cook Check)
    0.002 ms       cook   /lcroot/controlsystem/scene2/ctrldisplay1/rangemaxsin (CHOP:null Selective/Force Cook Check)
    0.000 ms       cook   /lcroot/controlsystem/scene2/ctrldisplay1/rangeminsin (CHOP:null Selective/Force Cook Check)
    0.001 ms       cook   /lcroot/controlsystem/scene2/ctrldisplay2/ctrlin (CHOP:null Selective/Force Cook Check)
    0.001 ms       cook   /lcroot/controlsystem/scene2/ctrldisplay2/snapshotin (CHOP:null Selective/Force Cook Check)
    0.002 ms       cook   /lcroot/controlsystem/scene2/ctrldisplay2/rangemaxsin (CHOP:null Selective/Force Cook Check)
    0.001 ms       cook   /lcroot/controlsystem/scene2/ctrldisplay2/rangeminsin (CHOP:null Selective/Force Cook Check)
    0.002 ms       cook   /lcroot/controlsystem/scene2/ctrldisplay3/ctrlin (CHOP:null Selective/Force Cook Check)
    0.001 ms       cook   /lcroot/controlsystem/scene2/ctrldisplay3/snapshotin (CHOP:null Selective/Force Cook Check)
    0.001 ms       cook   /lcroot/controlsystem/scene2/ctrldisplay3/rangemaxsin (CHOP:null Selective/Force Cook Check)
    0.002 ms       cook   /lcroot/controlsystem/scene2/ctrldisplay3/rangeminsin (CHOP:null Selective/Force Cook Check)
    0.001 ms       cook   /lcroot/controlsystem/scene2/ctrldisplay4/ctrlin (CHOP:null Selective/Force Cook Check)
    0.001 ms       cook   /lcroot/controlsystem/scene2/ctrldisplay4/snapshotin (CHOP:null Selective/Force Cook Check)
    0.001 ms       cook   /lcroot/controlsystem/scene2/ctrldisplay4/rangemaxsin (CHOP:null Selective/Force Cook Check)
    0.001 ms       cook   /lcroot/controlsystem/scene2/ctrldisplay4/rangeminsin (CHOP:null Selective/Force Cook Check)
    0.004 ms       cook   /lcroot/controlsystem/scene3/ctrlin (CHOP:null Selective/Force Cook Check)
    0.013 ms  2502 cook     /lcroot/controlsystem/scene3/select1 (CHOP:select)
    0.002 ms  2502 cook      /lcroot/controlsystem/scene3/ctrlgui1/ctrlout (CHOP:out)
    0.010 ms  2503 cook       /lcroot/controlsystem/scene3/ctrlgui1/rename3 (CHOP:rename)
    0.006 ms  2502 cook        /lcroot/controlsystem/scene3/ctrlgui1/override1 (CHOP:override)
    0.002 ms  2502 cook      /lcroot/controlsystem/scene3/ctrlgui2/ctrlout (CHOP:out)
    0.009 ms  2503 cook       /lcroot/controlsystem/scene3/ctrlgui2/rename3 (CHOP:rename)
    0.005 ms  2502 cook        /lcroot/controlsystem/scene3/ctrlgui2/override1 (CHOP:override)
    0.003 ms  2502 cook      /lcroot/controlsystem/scene3/ctrlgui3/ctrlout (CHOP:out)
    0.008 ms  2503 cook       /lcroot/controlsystem/scene3/ctrlgui3/rename3 (CHOP:rename)
    0.006 ms  2502 cook        /lcroot/controlsystem/scene3/ctrlgui3/override1 (CHOP:override)
    0.003 ms  2502 cook      /lcroot/controlsystem/scene3/ctrlgui4/ctrlout (CHOP:out)
    0.007 ms  2503 cook       /lcroot/controlsystem/scene3/ctrlgui4/rename3 (CHOP:rename)
    0.006 ms  2502 cook        /lcroot/controlsystem/scene3/ctrlgui4/override1 (CHOP:override)
    0.003 ms       cook   /lcroot/controlsystem/scene3/basevalsin (CHOP:null Selective/Force Cook Check)
    0.012 ms  2502 cook     /lcroot/controlsystem/scene3/select2 (CHOP:select)
    0.002 ms  2502 cook      /lcroot/controlsystem/scene3/ctrlgui1/basevalsout (CHOP:out)
    0.009 ms  2503 cook       /lcroot/controlsystem/scene3/ctrlgui1/rename4 (CHOP:rename)
    0.015 ms  2502 cook        /lcroot/controlsystem/scene3/ctrlgui1/override2 (CHOP:override)
    0.001 ms  2502 cook      /lcroot/controlsystem/scene3/ctrlgui2/basevalsout (CHOP:out)
    0.008 ms  2503 cook       /lcroot/controlsystem/scene3/ctrlgui2/rename4 (CHOP:rename)
    0.005 ms  2502 cook        /lcroot/controlsystem/scene3/ctrlgui2/override2 (CHOP:override)
    0.002 ms  2502 cook      /lcroot/controlsystem/scene3/ctrlgui3/basevalsout (CHOP:out)
    0.007 ms  2503 cook       /lcroot/controlsystem/scene3/ctrlgui3/rename4 (CHOP:rename)
    0.005 ms  2502 cook        /lcroot/controlsystem/scene3/ctrlgui3/override2 (CHOP:override)
    0.002 ms  2502 cook      /lcroot/controlsystem/scene3/ctrlgui4/basevalsout (CHOP:out)
    0.008 ms  2503 cook       /lcroot/controlsystem/scene3/ctrlgui4/rename4 (CHOP:rename)
    0.005 ms  2502 cook        /lcroot/controlsystem/scene3/ctrlgui4/override2 (CHOP:override)
    0.002 ms       cook   /lcroot/controlsystem/scene3/scene_core/mix (CHOP:null Selective/Force Cook Check)
    0.001 ms       cook   /lcroot/controlsystem/scene3/scene_core/ctrlin (CHOP:null Selective/Force Cook Check)
    0.002 ms       cook   /lcroot/controlsystem/scene3/scene_core/basevalsin (CHOP:null Selective/Force Cook Check)
    0.002 ms       script   Checking CHOP channels for CHOP Execute DAT /lcroot/controlsystem/scene3/scene_core/update_snapshot (DAT:chopexec)
    0.002 ms       script   Checking CHOP channels for CHOP Execute DAT /lcroot/controlsystem/scene3/ctrlgui1/ctrlslider/set_knobs (DAT:chopexec)
    0.001 ms       script   Checking CHOP channels for CHOP Execute DAT /lcroot/controlsystem/scene3/ctrlgui1/basevalslider/set_knobs (DAT:chopexec)
    0.005 ms       script   Checking CHOP channels for CHOP Execute DAT /lcroot/controlsystem/scene3/ctrlgui2/ctrlslider/set_knobs (DAT:chopexec)
    0.002 ms       script   Checking CHOP channels for CHOP Execute DAT /lcroot/controlsystem/scene3/ctrlgui2/basevalslider/set_knobs (DAT:chopexec)
    0.001 ms       script   Checking CHOP channels for CHOP Execute DAT /lcroot/controlsystem/scene3/ctrlgui3/ctrlslider/set_knobs (DAT:chopexec)
    0.001 ms       script   Checking CHOP channels for CHOP Execute DAT /lcroot/controlsystem/scene3/ctrlgui3/basevalslider/set_knobs (DAT:chopexec)
    0.001 ms       script   Checking CHOP channels for CHOP Execute DAT /lcroot/controlsystem/scene3/ctrlgui4/ctrlslider/set_knobs (DAT:chopexec)
    0.001 ms       script   Checking CHOP channels for CHOP Execute DAT /lcroot/controlsystem/scene3/ctrlgui4/basevalslider/set_knobs (DAT:chopexec)
    0.001 ms       cook   /lcroot/controlsystem/scene3/ctrldisplay1/ctrlin (CHOP:null Selective/Force Cook Check)
    0.002 ms       cook   /lcroot/controlsystem/scene3/ctrldisplay1/snapshotin (CHOP:null Selective/Force Cook Check)
    0.001 ms       cook   /lcroot/controlsystem/scene3/ctrldisplay1/rangemaxsin (CHOP:null Selective/Force Cook Check)
    0.002 ms       cook   /lcroot/controlsystem/scene3/ctrldisplay1/rangeminsin (CHOP:null Selective/Force Cook Check)
    0.001 ms       cook   /lcroot/controlsystem/scene3/ctrldisplay2/ctrlin (CHOP:null Selective/Force Cook Check)
    0.001 ms       cook   /lcroot/controlsystem/scene3/ctrldisplay2/snapshotin (CHOP:null Selective/Force Cook Check)
    0.001 ms       cook   /lcroot/controlsystem/scene3/ctrldisplay2/rangemaxsin (CHOP:null Selective/Force Cook Check)
    0.002 ms       cook   /lcroot/controlsystem/scene3/ctrldisplay2/rangeminsin (CHOP:null Selective/Force Cook Check)
    0.001 ms       cook   /lcroot/controlsystem/scene3/ctrldisplay3/ctrlin (CHOP:null Selective/Force Cook Check)
    0.001 ms       cook   /lcroot/controlsystem/scene3/ctrldisplay3/snapshotin (CHOP:null Selective/Force Cook Check)
    0.002 ms       cook   /lcroot/controlsystem/scene3/ctrldisplay3/rangemaxsin (CHOP:null Selective/Force Cook Check)
    0.001 ms       cook   /lcroot/controlsystem/scene3/ctrldisplay3/rangeminsin (CHOP:null Selective/Force Cook Check)
    0.002 ms       cook   /lcroot/controlsystem/scene3/ctrldisplay4/ctrlin (CHOP:null Selective/Force Cook Check)
    0.001 ms       cook   /lcroot/controlsystem/scene3/ctrldisplay4/snapshotin (CHOP:null Selective/Force Cook Check)
    0.001 ms       cook   /lcroot/controlsystem/scene3/ctrldisplay4/rangemaxsin (CHOP:null Selective/Force Cook Check)
    0.001 ms       cook   /lcroot/controlsystem/scene3/ctrldisplay4/rangeminsin (CHOP:null Selective/Force Cook Check)
    0.004 ms       cook   /lcroot/controlsystem/scene4/ctrlin (CHOP:null Selective/Force Cook Check)
    0.015 ms  2505 cook     /lcroot/controlsystem/scene4/select1 (CHOP:select)
    0.003 ms  2505 cook      /lcroot/controlsystem/scene4/ctrlgui1/ctrlout (CHOP:out)
    0.010 ms  2505 cook       /lcroot/controlsystem/scene4/ctrlgui1/rename3 (CHOP:rename)
    0.007 ms  2505 cook        /lcroot/controlsystem/scene4/ctrlgui1/override1 (CHOP:override)
    0.002 ms  2505 cook      /lcroot/controlsystem/scene4/ctrlgui2/ctrlout (CHOP:out)
    0.009 ms  2505 cook       /lcroot/controlsystem/scene4/ctrlgui2/rename3 (CHOP:rename)
    0.006 ms  2505 cook        /lcroot/controlsystem/scene4/ctrlgui2/override1 (CHOP:override)
    0.002 ms  2505 cook      /lcroot/controlsystem/scene4/ctrlgui3/ctrlout (CHOP:out)
    0.009 ms  2505 cook       /lcroot/controlsystem/scene4/ctrlgui3/rename3 (CHOP:rename)
    0.005 ms  2505 cook        /lcroot/controlsystem/scene4/ctrlgui3/override1 (CHOP:override)
    0.001 ms  2505 cook      /lcroot/controlsystem/scene4/ctrlgui4/ctrlout (CHOP:out)
    0.009 ms  2505 cook       /lcroot/controlsystem/scene4/ctrlgui4/rename3 (CHOP:rename)
    0.005 ms  2505 cook        /lcroot/controlsystem/scene4/ctrlgui4/override1 (CHOP:override)
    0.004 ms       cook   /lcroot/controlsystem/scene4/basevalsin (CHOP:null Selective/Force Cook Check)
    0.012 ms  2504 cook     /lcroot/controlsystem/scene4/select2 (CHOP:select)
    0.002 ms  2504 cook      /lcroot/controlsystem/scene4/ctrlgui1/basevalsout (CHOP:out)
    0.008 ms  2504 cook       /lcroot/controlsystem/scene4/ctrlgui1/rename4 (CHOP:rename)
    0.005 ms  2504 cook        /lcroot/controlsystem/scene4/ctrlgui1/override2 (CHOP:override)
    0.001 ms  2504 cook      /lcroot/controlsystem/scene4/ctrlgui2/basevalsout (CHOP:out)
    0.008 ms  2504 cook       /lcroot/controlsystem/scene4/ctrlgui2/rename4 (CHOP:rename)
    0.005 ms  2504 cook        /lcroot/controlsystem/scene4/ctrlgui2/override2 (CHOP:override)
    0.002 ms  2504 cook      /lcroot/controlsystem/scene4/ctrlgui3/basevalsout (CHOP:out)
    0.007 ms  2504 cook       /lcroot/controlsystem/scene4/ctrlgui3/rename4 (CHOP:rename)
    0.005 ms  2504 cook        /lcroot/controlsystem/scene4/ctrlgui3/override2 (CHOP:override)
    0.002 ms  2504 cook      /lcroot/controlsystem/scene4/ctrlgui4/basevalsout (CHOP:out)
    0.007 ms  2504 cook       /lcroot/controlsystem/scene4/ctrlgui4/rename4 (CHOP:rename)
    0.005 ms  2504 cook        /lcroot/controlsystem/scene4/ctrlgui4/override2 (CHOP:override)
    0.002 ms       cook   /lcroot/controlsystem/scene4/scene_core/mix (CHOP:null Selective/Force Cook Check)
    0.001 ms       cook   /lcroot/controlsystem/scene4/scene_core/ctrlin (CHOP:null Selective/Force Cook Check)
    0.002 ms       cook   /lcroot/controlsystem/scene4/scene_core/basevalsin (CHOP:null Selective/Force Cook Check)
    0.002 ms       script   Checking CHOP channels for CHOP Execute DAT /lcroot/controlsystem/scene4/scene_core/update_snapshot (DAT:chopexec)
    0.002 ms       script   Checking CHOP channels for CHOP Execute DAT /lcroot/controlsystem/scene4/ctrlgui1/ctrlslider/set_knobs (DAT:chopexec)
    0.001 ms       script   Checking CHOP channels for CHOP Execute DAT /lcroot/controlsystem/scene4/ctrlgui1/basevalslider/set_knobs (DAT:chopexec)
    0.001 ms       script   Checking CHOP channels for CHOP Execute DAT /lcroot/controlsystem/scene4/ctrlgui2/ctrlslider/set_knobs (DAT:chopexec)
    0.001 ms       script   Checking CHOP channels for CHOP Execute DAT /lcroot/controlsystem/scene4/ctrlgui2/basevalslider/set_knobs (DAT:chopexec)
    0.001 ms       script   Checking CHOP channels for CHOP Execute DAT /lcroot/controlsystem/scene4/ctrlgui3/ctrlslider/set_knobs (DAT:chopexec)
    0.001 ms       script   Checking CHOP channels for CHOP Execute DAT /lcroot/controlsystem/scene4/ctrlgui3/basevalslider/set_knobs (DAT:chopexec)
    0.002 ms       script   Checking CHOP channels for CHOP Execute DAT /lcroot/controlsystem/scene4/ctrlgui4/ctrlslider/set_knobs (DAT:chopexec)
    0.001 ms       script   Checking CHOP channels for CHOP Execute DAT /lcroot/controlsystem/scene4/ctrlgui4/basevalslider/set_knobs (DAT:chopexec)
    0.002 ms       cook   /lcroot/controlsystem/scene4/ctrldisplay1/ctrlin (CHOP:null Selective/Force Cook Check)
    0.002 ms       cook   /lcroot/controlsystem/scene4/ctrldisplay1/snapshotin (CHOP:null Selective/Force Cook Check)
    0.001 ms       cook   /lcroot/controlsystem/scene4/ctrldisplay1/rangemaxsin (CHOP:null Selective/Force Cook Check)
    0.011 ms       cook   /lcroot/controlsystem/scene4/ctrldisplay1/rangeminsin (CHOP:null Selective/Force Cook Check)
    0.002 ms  1536 cook     /lcroot/controlsystem/scene4/ctrldisplay1/rangeminsin (CHOP:null)
    0.002 ms       cook   /lcroot/controlsystem/scene4/ctrldisplay2/ctrlin (CHOP:null Selective/Force Cook Check)
    0.001 ms       cook   /lcroot/controlsystem/scene4/ctrldisplay2/snapshotin (CHOP:null Selective/Force Cook Check)
    0.001 ms       cook   /lcroot/controlsystem/scene4/ctrldisplay2/rangemaxsin (CHOP:null Selective/Force Cook Check)
    0.001 ms       cook   /lcroot/controlsystem/scene4/ctrldisplay2/rangeminsin (CHOP:null Selective/Force Cook Check)
    0.002 ms       cook   /lcroot/controlsystem/scene4/ctrldisplay3/ctrlin (CHOP:null Selective/Force Cook Check)
    0.001 ms       cook   /lcroot/controlsystem/scene4/ctrldisplay3/snapshotin (CHOP:null Selective/Force Cook Check)
    0.002 ms       cook   /lcroot/controlsystem/scene4/ctrldisplay3/rangemaxsin (CHOP:null Selective/Force Cook Check)
    0.001 ms       cook   /lcroot/controlsystem/scene4/ctrldisplay3/rangeminsin (CHOP:null Selective/Force Cook Check)
    0.002 ms       cook   /lcroot/controlsystem/scene4/ctrldisplay4/ctrlin (CHOP:null Selective/Force Cook Check)
    0.001 ms       cook   /lcroot/controlsystem/scene4/ctrldisplay4/snapshotin (CHOP:null Selective/Force Cook Check)
    0.001 ms       cook   /lcroot/controlsystem/scene4/ctrldisplay4/rangemaxsin (CHOP:null Selective/Force Cook Check)
    0.006 ms       cook   /lcroot/controlsystem/scene4/ctrldisplay4/rangeminsin (CHOP:null Selective/Force Cook Check)
    0.002 ms  1525 cook     /lcroot/controlsystem/scene4/ctrldisplay4/rangeminsin (CHOP:null)
    0.005 ms       cook   /lcroot/controlsystem/scene5/ctrlin (CHOP:null Selective/Force Cook Check)
    0.014 ms  2502 cook     /lcroot/controlsystem/scene5/select1 (CHOP:select)
    0.002 ms  2502 cook      /lcroot/controlsystem/scene5/ctrlgui1/ctrlout (CHOP:out)
    0.010 ms  2503 cook       /lcroot/controlsystem/scene5/ctrlgui1/rename3 (CHOP:rename)
    0.007 ms  2502 cook        /lcroot/controlsystem/scene5/ctrlgui1/override1 (CHOP:override)
    0.001 ms  2502 cook      /lcroot/controlsystem/scene5/ctrlgui2/ctrlout (CHOP:out)
    0.010 ms  2503 cook       /lcroot/controlsystem/scene5/ctrlgui2/rename3 (CHOP:rename)
    0.005 ms  2502 cook        /lcroot/controlsystem/scene5/ctrlgui2/override1 (CHOP:override)
    0.001 ms  2502 cook      /lcroot/controlsystem/scene5/ctrlgui3/ctrlout (CHOP:out)
    0.009 ms  2503 cook       /lcroot/controlsystem/scene5/ctrlgui3/rename3 (CHOP:rename)
    0.006 ms  2502 cook        /lcroot/controlsystem/scene5/ctrlgui3/override1 (CHOP:override)
    0.002 ms  2502 cook      /lcroot/controlsystem/scene5/ctrlgui4/ctrlout (CHOP:out)
    0.008 ms  2503 cook       /lcroot/controlsystem/scene5/ctrlgui4/rename3 (CHOP:rename)
    0.005 ms  2502 cook        /lcroot/controlsystem/scene5/ctrlgui4/override1 (CHOP:override)
    0.004 ms       cook   /lcroot/controlsystem/scene5/basevalsin (CHOP:null Selective/Force Cook Check)
    0.010 ms  2502 cook     /lcroot/controlsystem/scene5/select2 (CHOP:select)
    0.002 ms  2502 cook      /lcroot/controlsystem/scene5/ctrlgui1/basevalsout (CHOP:out)
    0.007 ms  2503 cook       /lcroot/controlsystem/scene5/ctrlgui1/rename4 (CHOP:rename)
    0.006 ms  2502 cook        /lcroot/controlsystem/scene5/ctrlgui1/override2 (CHOP:override)
    0.002 ms  2502 cook      /lcroot/controlsystem/scene5/ctrlgui2/basevalsout (CHOP:out)
    0.008 ms  2503 cook       /lcroot/controlsystem/scene5/ctrlgui2/rename4 (CHOP:rename)
    0.005 ms  2502 cook        /lcroot/controlsystem/scene5/ctrlgui2/override2 (CHOP:override)
    0.003 ms  2502 cook      /lcroot/controlsystem/scene5/ctrlgui3/basevalsout (CHOP:out)
    0.007 ms  2503 cook       /lcroot/controlsystem/scene5/ctrlgui3/rename4 (CHOP:rename)
    0.005 ms  2502 cook        /lcroot/controlsystem/scene5/ctrlgui3/override2 (CHOP:override)
    0.002 ms  2502 cook      /lcroot/controlsystem/scene5/ctrlgui4/basevalsout (CHOP:out)
    0.007 ms  2503 cook       /lcroot/controlsystem/scene5/ctrlgui4/rename4 (CHOP:rename)
    0.005 ms  2502 cook        /lcroot/controlsystem/scene5/ctrlgui4/override2 (CHOP:override)
    0.001 ms       cook   /lcroot/controlsystem/scene5/scene_core/mix (CHOP:null Selective/Force Cook Check)
    0.002 ms       cook   /lcroot/controlsystem/scene5/scene_core/ctrlin (CHOP:null Selective/Force Cook Check)
    0.001 ms       cook   /lcroot/controlsystem/scene5/scene_core/basevalsin (CHOP:null Selective/Force Cook Check)
    0.002 ms       script   Checking CHOP channels for CHOP Execute DAT /lcroot/controlsystem/scene5/scene_core/update_snapshot (DAT:chopexec)
    0.001 ms       script   Checking CHOP channels for CHOP Execute DAT /lcroot/controlsystem/scene5/ctrlgui1/ctrlslider/set_knobs (DAT:chopexec)
    0.001 ms       script   Checking CHOP channels for CHOP Execute DAT /lcroot/controlsystem/scene5/ctrlgui1/basevalslider/set_knobs (DAT:chopexec)
    0.001 ms       script   Checking CHOP channels for CHOP Execute DAT /lcroot/controlsystem/scene5/ctrlgui2/ctrlslider/set_knobs (DAT:chopexec)
    0.001 ms       script   Checking CHOP channels for CHOP Execute DAT /lcroot/controlsystem/scene5/ctrlgui2/basevalslider/set_knobs (DAT:chopexec)
    0.001 ms       script   Checking CHOP channels for CHOP Execute DAT /lcroot/controlsystem/scene5/ctrlgui3/ctrlslider/set_knobs (DAT:chopexec)
    0.001 ms       script   Checking CHOP channels for CHOP Execute DAT /lcroot/controlsystem/scene5/ctrlgui3/basevalslider/set_knobs (DAT:chopexec)
    0.002 ms       script   Checking CHOP channels for CHOP Execute DAT /lcroot/controlsystem/scene5/ctrlgui4/ctrlslider/set_knobs (DAT:chopexec)
    0.002 ms       script   Checking CHOP channels for CHOP Execute DAT /lcroot/controlsystem/scene5/ctrlgui4/basevalslider/set_knobs (DAT:chopexec)
    0.001 ms       cook   /lcroot/controlsystem/scene5/ctrldisplay1/ctrlin (CHOP:null Selective/Force Cook Check)
    0.002 ms       cook   /lcroot/controlsystem/scene5/ctrldisplay1/snapshotin (CHOP:null Selective/Force Cook Check)
    0.001 ms       cook   /lcroot/controlsystem/scene5/ctrldisplay1/rangemaxsin (CHOP:null Selective/Force Cook Check)
    0.002 ms       cook   /lcroot/controlsystem/scene5/ctrldisplay1/rangeminsin (CHOP:null Selective/Force Cook Check)
    0.001 ms       cook   /lcroot/controlsystem/scene5/ctrldisplay2/ctrlin (CHOP:null Selective/Force Cook Check)
    0.002 ms       cook   /lcroot/controlsystem/scene5/ctrldisplay2/snapshotin (CHOP:null Selective/Force Cook Check)
