                   frame  Start Frame
    0.004 ms  2959 cook     /lcroot/expandgeo/hold1 (CHOP:hold)
    0.001 ms  2959 cook      /lcroot/expandgeo/triggerpulse (CHOP:null)
    0.013 ms  2958 cook       /lcroot/expandgeo/logic1 (CHOP:logic)
    0.008 ms  2490 cook        /lcroot/expandgeo/select2 (CHOP:select)
    0.001 ms       cook   CHOP_Record
    0.002 ms       script   Checking CHOP channels for CHOP Execute DAT /lcroot/sidepanel/toggle_windows (DAT:chopexec)
    0.002 ms       cook   /lcroot/components/gater/null2 (CHOP:null Selective/Force Cook Check)
    0.001 ms       script   Checking CHOP channels for CHOP Execute DAT /lcroot/components/mixertrack/chopexec2 (DAT:chopexec)
    0.001 ms       script   Checking CHOP channels for CHOP Execute DAT /lcroot/components/mixertrack/alphaslider/set_knobs (DAT:chopexec)
    0.001 ms       script   Checking CHOP channels for CHOP Execute DAT /lcroot/components/freqbandctrl/chopexec1 (DAT:chopexec)
    0.001 ms       script   Checking CHOP channels for CHOP Execute DAT /lcroot/components/freqbandctrl/gainslider/set_knobs (DAT:chopexec)
    0.002 ms       script   Checking CHOP channels for CHOP Execute DAT /lcroot/components/freqbandctrl/rolloffslider/set_knobs (DAT:chopexec)
    0.001 ms       script   Checking CHOP channels for CHOP Execute DAT /lcroot/components/audioportctrl/gainslider/set_knobs (DAT:chopexec)
    0.002 ms       cook   /lcroot/components/triggeredanim/null1 (CHOP:null Selective/Force Cook Check)
    0.006 ms  2473 cook     /lcroot/components/triggeredanim/logic1 (CHOP:logic)
    0.003 ms       cook   /lcroot/components/triggeredanim/mixlevel (CHOP:null Selective/Force Cook Check)
    0.008 ms  2490 cook     /lcroot/components/triggeredanim/trigger1 (CHOP:trigger)
    0.001 ms       cook   /lcroot/components/triggeredanim/animposition (CHOP:null Selective/Force Cook Check)
    0.005 ms  2473 cook     /lcroot/components/triggeredanim/speed1 (CHOP:speed)
    0.002 ms  2473 cook      /lcroot/components/triggeredanim/startanim (CHOP:null)
    0.005 ms  2473 cook       /lcroot/components/triggeredanim/delay1 (CHOP:delay)
    0.003 ms       cook   /lcroot/vidrecording/now (CHOP:null Selective/Force Cook Check)
    0.014 ms  2460 cook     /lcroot/vidrecording/clock1 (CHOP:clock)
